accessory_ID,name,original_price,category,current_price,discount,avg_rating,cover_link
278499139,"Bọc Sách Giáo Khoa Nilon 240 x 170 mm - Campus - Mẫu Repete, Khổ B5 - NC-BOK-10-3",21000,Bọc sách,20700,1.0,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/49/50/ac/baf346ccc6981d21255ecc9068f50469.jpg
169381725,Bọc Sách Giáo Khoa Theo Chương Trình Mới Campus NC-BOK2-10,23000,Bọc sách,22700,1.0,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/77/e2/d0/9612365eb2848c6141cf1a0d5b9e95b4.jpg
209115076,Bộ 10 Bao Bọc Sách SGK Vở Dán Bìa Trong Suốt Chống Nước Book Cover Super Wings Deli - Phù Hơp Cho Học Sinh Văn Phòng,45000,Bọc sách,28000,0.38,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/3c/68/c3/64712ca0eb43dfba99f0af4891b19999.jpg
132789818,"Túi giấy kraft loại dày, túi giấy đóng sẵn, đựng quà nhỏ, đựng sách truyện, đồ lặt vặt",70000,Hộp quà/Túi quà,56000,0.2,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/05/06/01/1931a19b36c055ff148b3ce9984a226d.jpg
278680994,Bookmark Hội Sách Tiki,25000,Bookmark,20000,0.2,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/d4/e7/82/926a5be8a502fd01ba94d6532d26e272.png
197652704,Túi Quà Vintage 21 x 16 cm - The Sun (Mẫu Màu Giao Ngẫu Nhiên),10500,Hộp quà/Túi quà,9200,0.12,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/61/b8/ee/e60a1c86fc89b18cef74f51271fbe3aa.jpg
48011237,Sticker Moshi SLRR - Hình Son Môi,37000,Sticker,33600,0.09,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/21/77/35/d7da636c10545e968a6c80486b0f8ced.jpg
75656078,Túi Giấy Kraft Trắng 16x13,15500,Hộp quà/Túi quà,15500,0.0,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/d8/35/9e/8e86b8d9abb92c988362ddc5a1221d8d.jpg
195559363,Thiệp Wonderful Bó Hoa,15000,Thiệp,15000,0.0,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/94/bc/04/987f0e5f86d814f92db50f440588dfe6.jpg
157021037,Thiệp chúc mừng sinh nhật 12x12 SDstationery BOUQUET họa tiết hiện đại màu sắc rực rỡ,64800,Thiệp,64800,0.0,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/4d/64/93/081cc292cb2dae994b3593bfcae162b9.jpg
205052594,Thiệp tình yêu Valentine SDstationery LOVE IS PINK vuông 12 cm màu hồng dễ thương,86400,Thiệp,86400,0.0,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/fd/b2/f7/4d6d856c75846348984e084083e68c14.png
